studyName,studyFullName,studyCategoryId,studyCategory,studyDetail,studyStatus,studyType,startYear,endYear,sponsorName,studyDesign,noOfCountries,noOfSites,noOfParticipants
CHARM,Candesartan Cilexetil in Heart Failure Assessment of Reduction in Mortality and Morbidity,16,Heart Failure,"To determine the effects of candesartan on mortality and morbidity in patients with chronic heart failure: the CHARM-Overall Programme.

The primary outcome was all-cause death. The outcomes in the three component trials were: cardiovascular death or hospitalization for worsening heart failure; cardiovascular death, admission to hospital for CHF, or non-fatal myocardial infarction; cardiovascular death, admission to hospital for CHF, non-fatal myocardial infarction, or non-fatal stroke; cardiovascular death, admission to hospital for CHF, non-fatal myocardial infarction, non-fatal stroke, or coronary revascularisation; death (any cause) or admission to hospital for CHF; and development of new diabetes. All outcome events were adjudicated.
",Publication,Interventional - Drug,1999,2000,,,24,618,7601
CIDS,Canadian Implantable Defibrillator Study (CIDS),5,Arrhythmia,"To evaluate Implantable Cardioverter Defibrillator against Amiodarone

The primary outcome measure was all-cause mortality, and the secondary outcome was arrhythmic death.
",Publication,Interventional - Device,1990,1997,,,3,24,659
CLARITY,The IntravasCular ULtrAsound foR PerIpheral ArTerY Disease Revascularization (CLARITY),22,Other,"In adult patients with CLTI undergoing percutaneous revascularization, does the use of IVUS, as compared to angiography alone, significantly reduce the composite of all-cause mortality or MALE, defined as above-ankle amputation or repeat target lesion revascularization?",New,Interventional - Procedure,,,,,,2,50
CLEAR SYNERGY (OASIS 9),"A 2x2 factorial randomized controlled trial of CoLchicine and spironolactonE in patients with myocARdial infarction and SYNERGY Stent Registry –
Organization to Assess Strategies for Ischemic Syndromes 9",7,Acute Coronary Syndromes,The CLEAR SYNERGY (OASIS 9) trial will study the long term effects of treatments following PCI for myocardial infarction. These treatments address both the culprit artery (PCI with SYNERGY Stent) as well as the non-culprit arteries (randomization to routine colchicine and spironolactone).,Follow Up,Interventional - Drug,2018,2024,PHRI,,14,110,7297
COLT-HF,COLchicine and Thiamine in Ischemic Heart Failure (COLT-HF),16,Heart Failure,"In an RCT of individuals with HF secondary to IHD:

1) To examine the impact of colchicine on the composite outcome of CV death, HF hospitalization, or ischemic cardiovascular events (defined as myocardial infarction, ischemic stroke, or arterial revascularization).

2) To examine the impact of thiamine on the composite outcome of CV death, HF hospitalization or urgent HF visit
",Recruitment,Interventional - Drug,2024,,PHRI,,6,69,3
COMPASS,A Randomized Controlled Trial of Rivaroxaban for the Prevention of Major Cardiovascular Events in Patients With Coronary or Peripheral Artery Disease (COMPASS - Cardiovascular OutcoMes for People Using Anticoagulation StrategieS),8,CVD Prevention,"Randomized controlled trial of rivaroxaban for the prevention of major cardiovascular events in patients with coronary artery disease (CAD) or peripheral arterial disease (PAD). 

Randomized trial is complete. Open label extension is ongoing.",Publication,Interventional - Drug,2013,2017,Bayer,,34,685,30164
COMPLETE,"A randomized, comparative effectiveness study of complete versus culprit-only revascularization strategies to treat multi-vessel disease after primary percutaneous coronary intervention for ST-segment elevation myocardial infarction",7,Acute Coronary Syndromes,"To determine whether, on a background of optimal medical therapy with low dose ASA and ticagrelor, a strategy of multi-vessel revascularization involving staged PCI using drug eluting stents of all suitable non-infarct related artery lesions is superior to a strategy of culprit lesion only revascularization in reducing the composite outcome of CV death or new MI in patients with multi-vessel disease who have undergone successful culprit lesion primary PCI for STEMI.

""Primary Objective
To determine whether, on a background of optimal medical therapy with low dose ASA and ticagrelor, a strategy of multi-vessel revascularization involving staged PCI using drug eluting stents of all suitable non-infarct related artery lesions is superior to a strategy of culprit lesion only revascularization in reducing the composite outcome of CV death or new MI in patients with multi-vessel disease who have undergone successful culprit lesion primary PCI for STEMI.
Key Secondary Objectives
1. To determine whether complete revascularization reduces the composite of CV death, new MI or ischemia-driven revascularization
2. To determine whether the initial strategy of complete revascularization improves angina control, as assessed by the Seattle Angina Questionnaire (SAQ) Frequency Scale, and health-related quality of life, as assessed by the EQ-5D Quality of Life scale at 6 months and 5 year/final follow up compared to baseline.
Other Secondary Objectives
To determine whether an initial strategy of complete revascularization is superior to an initial strategy of culprit lesion only revascularization in reducing the composite of CV death, new MI, ischemia-driven revascularization or re-hospitalization for unstable angina or hospitalization for heart failure and each component of the key secondary objectives taken separately as well as all-cause mortality, stroke, stent thrombosis, major bleeding, economic evaluation, including health resource utilization, costs and cost-effectiveness.""
",Publication,Interventional - Procedure,2013,2019,PHRI,,31,163,4041
COMPLETE-2,COMPLETE-2: A randomized trial of physiology-guided versus angiography-guided non-culprit lesion complete revascularization strategies in patients with acute myocardial infarction and multivessel coronary artery disease,7,Acute Coronary Syndromes,,Recruitment,Interventional - Procedure,2023,2028,PHRI,,7,31,317
COOL-AF,Cardiac Optimization Of patients using Landiolol to prevent Atrial Fibrillation after cardiac surgery (COOL AF) Trial,17,Cardiac Surgery,"COOL-AF is a 1000 patient, multicentre, international, blinded, randomized placebo-controlled trial of landiolol versus placebo. The primary objective is to determine the effect of perioperative landiolol versus placebo on new postoperative atrial fibrillation (POAF) in patients undergoing cardiac surgery. Patients will be given landiolol/placebo during surgery and will continue treatment for 3 days post-surgery. Patients will be followed for 30 days post-randomization. ",New,Interventional - Drug,2023,2025,PHRI,,12,75,1000
COP-AF ,Colchicine for the prevention of perioperative atrial fibrillation study,9,Perioperative,"Up to 20% of patients undergoing major thoracic surgery develop POAF, making it one of the most common serious complications in this patient population. Up to 20% of patients undergoing major thoracic surgery develop POAF, making it one of the most common serious complications in this patient population. to determine whether the administration of colchicine reduces the occurrence of POAF and other inflammatory complications within 30 days after major thoracic surgery.",Close Out,Interventional - Drug,2018,2023,PHRI,,11,48,3212
COP-AF Pilot Study,COlchicine For Prevention Of Perioperative Atrial Fibrillation In Patients Undergoing Thoracic Surgery (COP-AF) Pilot Study,9,Perioperative,"COlchicine For Prevention Of Perioperative Atrial Fibrillation In Patients Undergoing Thoracic Surgery (COP-AF) Pilot Study is a Multi-center, blinded, pilot randomized controlled trial of 100 patients. The primary objectives are: 1) To determine the feasibility of recruiting patients undergoing thoracic surgery to an RCT of colchicine vs. placebo for the prevention of perioperative AF;
2) To determine the resources required to achieve recruitment, pre-operative randomization, and to conduct a full scale trial; and 3) To assess the compliance with the trial protocol. The secondary objective is to determine the incidence of new onset perioperative AF or atrial flutter within the index hospitalization, death, myocardial injury after noncardiac surgery (MINS), stroke or transient ischemic attack (TIA), clinically important bradycardia, clinically important hypotension, life threatening bleeding, major bleeding, sepsis/infection, non infectious diarrhea, as well as on the duration of ICU, step-down and in-hospital stay.",Publication,Interventional - Drug,2014,2015,PHRI,,1,2,100
CORONARY,CABG Off or On Pump Revascularization Study (CORONARY),17,Cardiac Surgery,"To compare the risks &amp; benefits of Off-pump Coronary artery bypass surgery (CABG) to On-pump CABG &amp; to determine if one is better than the other. Also to see the rate of recruitment with expertise-based randomization across different hospital settings. The study will look at which of the two techniques reduce major risks associated with CABG.
The occurrence of the composite of total mortality, stroke, nonfatal MI, or new renal failure at 30 days post CABG surgery. The occurrence of the composite of total mortality, stroke, nonfatal MI, new renal failure, or repeat coronary revascularization (i.e. coronary artery bypass surgery or percutaneous coronary intervention) over 5 years after randomization. Secondary Endpoint: The assessment of total costs and resources consumption at 30 days after CABG surgery. The assessment of total costs and resources consumption at 5 years after CABG surgery. All endpoints are adjudicated.

",Publication,Interventional - Procedure,2006,2016,PHRI,,19,79,4752
